year,co2,co2_per_capita
1800,0.253,0.042
1801,0.267,0.044
1802,0.289,0.046
1803,0.297,0.047
1804,0.333,0.052
1805,0.341,0.052
1806,0.333,0.05
1807,0.377,0.055
1808,0.392,0.056
1809,0.403,0.057
1810,0.418,0.057
1811,0.447,0.06
1812,0.484,0.063
1813,0.52,0.065
1814,0.561,0.068
1815,0.601,0.071
1816,0.663,0.075
1817,0.718,0.079
1818,0.78,0.083
1819,0.762,0.079
1820,0.791,0.079
1821,0.828,0.081
1822,0.865,0.082
1823,0.901,0.083
1824,1.015,0.091
1825,1.136,0.099
1826,1.315,0.111
1827,1.447,0.119
1828,1.594,0.127
1829,1.795,0.139
1830,2.088,0.158
1831,2.264,0.166
1832,3.023,0.216
1833,3.528,0.245
1834,3.382,0.229
1835,4.316,0.284
1836,4.73,0.303
1837,5.305,0.33
1838,5.031,0.305
1839,5.518,0.325
1840,5.873,0.336
1841,6.214,0.345
1842,6.918,0.373
1843,7.764,0.406
1844,9.307,0.472
1845,11.205,0.552
1846,12.71,0.608
1847,15.07,0.699
1848,16.785,0.755
1849,18.221,0.796
1850,19.793,0.839
1851,24.633,1.012
1852,26.791,1.068
1853,30.162,1.166
1854,33.159,1.243
1855,38.161,1.387
1856,40.037,1.412
1857,41.055,1.404
1858,41.649,1.381
1859,45.32,1.46
1860,47.438,1.486
1861,45.679,1.393
1862,47.449,1.411
1863,54.81,1.591
1864,58.657,1.663
1865,58.822,1.628
1866,59.232,1.6
1867,72.866,1.922
1868,82.352,2.12
1869,93.696,2.356
1870,98.62,2.421
1871,103.021,2.471
1872,126.305,2.959
1873,139.507,3.193
1874,134.297,3.003
1875,135.748,2.966
1876,132.82,2.835
1877,147.176,3.07
1878,143.904,2.933
1879,175.469,3.494
1880,198.684,3.865
1881,210.193,3.995
1882,235.394,4.371
1883,253.883,4.606
1884,267.59,4.743
1885,272.162,4.713
1886,287.463,4.864
1887,307.381,5.081
1888,373.875,6.038
1889,335.542,5.299
1890,401.747,6.208
1891,427.425,6.468
1892,450.449,6.681
1893,454.095,6.606
1894,425.05,6.064
1895,479.948,6.716
1896,480.882,6.6
1897,500.287,6.735
1898,545.321,7.2
1899,625.534,8.099
1900,662.738,8.414
1901,721.528,8.981
1902,764.496,9.329
1903,894.407,10.698
1904,882.058,10.341
1905,986.482,11.336
1906,1035.471,11.664
1907,1203.861,13.292
1908,1052.813,11.394
1909,1165.706,12.379
1910,1271.582,13.264
1911,1258.667,12.911
1912,1343.566,13.566
1913,1442.542,14.352
1914,1317.98,12.921
1915,1367.697,13.212
1916,1518.981,14.459
1917,1670.971,15.673
1918,1747.718,16.162
1919,1479.159,13.485
1920,1738.246,15.622
1921,1423.669,12.611
1922,1435.758,12.535
1923,1896.736,16.32
1924,1698.32,14.401
1925,1758.185,14.693
1926,1906.048,15.698
1927,1862.839,15.12
1928,1830.965,14.646
1929,1963.506,15.503
1930,1744.916,13.619
1931,1484.959,11.475
1932,1257.814,9.638
1933,1348.877,10.263
1934,1436.239,10.852
1935,1492.321,11.197
1936,1713.412,12.766
1937,1792.61,13.263
1938,1515.75,11.136
1939,1670.92,12.174
1940,1874.985,13.528
1941,2043.585,14.581
1942,2198.265,15.49
1943,2272.059,15.791
1944,2444.904,16.759
1945,2359.552,15.952
1946,2257.494,15.053
1947,2485.854,16.349
1948,2582.559,16.752
1949,2164.862,13.84
1950,2541.485,17.14
1951,2618.711,17.389
1952,2551.219,16.681
1953,2612.971,16.809
1954,2489.462,15.736
1955,2728.512,16.933
1956,2859.995,17.432
1957,2835.772,16.986
1958,2747.108,16.145
1959,2831.923,16.339
1960,2897.315,16.444
1961,2886.873,16.12
1962,2993.902,16.457
1963,3126.488,16.932
1964,3264.313,17.43
1965,3399.547,17.92
1966,3571.421,18.618
1967,3705.461,19.122
1968,3840.919,19.622
1969,4035.145,20.394
1970,4339.686,21.663
1971,4365.465,21.515
1972,4573.015,22.281
1973,4785.048,23.081
1974,4621.046,22.081
1975,4478.226,21.196
1976,4747.762,22.262
1977,4889.607,22.696
1978,4941.362,22.679
1979,5008.579,22.718
1980,4808.521,21.549
1981,4686.369,20.768
1982,4447.256,19.505
1983,4429.374,19.226
1984,4662.142,20.029
1985,4652.58,19.786
1986,4663.37,19.634
1987,4825.651,20.119
1988,5050.476,20.845
1989,5132.134,20.951
1990,5122.496,20.648
1991,5064.987,20.134
1992,5175.22,20.281
1993,5274.363,20.382
1994,5365.579,20.458
1995,5427.798,20.431
1996,5616.431,20.88
1997,5691.865,20.896
1998,5737.129,20.799
1999,5810.332,20.812
2000,6016.351,21.304
2001,5911.988,20.71
2002,5952.699,20.644
2003,6015.804,20.665
2004,6117.963,20.813
2005,6137.604,20.676
2006,6057.163,20.207
2007,6135.287,20.266
2008,5918.869,19.362
2009,5482.978,17.772
2010,5681.392,18.257
2011,5546.629,17.671
2012,5345.454,16.881
2013,5480.926,17.161
2014,5528.871,17.169
2015,5376.578,16.563
2016,5251.757,16.05
2017,5210.958,15.801
2018,5376.657,16.188
2019,5259.144,15.731
2020,4715.691,14.037
2021,5007.336,14.859
